,name,summary,description
0,PartSeg,"PartSeg is python GUI for bio imaging analysis especially nucleus analysis,","PartSeg












PartSeg is a GUI and a library for segmentation algorithms.
This application is designed to help biologist with segmentation based on threshold and connected components.

Tutorials

Tutorial: Chromosome 1 (as gui) link
Data for chromosome 1 tutorial link
Tutorial: Different neuron types (as library) link

Installing


From binaries:

Windows (build on Windows 10)
Linux (build on Ubuntu 18.04)
MacOS (build on MacOS Mojave)



With pip:

From pypi: pip install PartSeg[pyqt]
From repository: pip install git+https://github.com/4DNucleome/PartSeg.git



Running
If you downloaded binaries, run the PartSeg (or PartSeg.exe for Windows) file inside the PartSeg folder
If you installed from repository or from pip, you can run it with PartSeg command or python -m PartSeg.
First option does not work on Windows.
PartSeg export few commandline options:

--no_report - disable error reporting
--no_dialog - disable error reporting and error dialog. Use only when running from terminal.
segmentation_analysis - skip launcher and start analysis gui
segmentation - skip launcher and start segmentation gui

napari plugin
PartSeg provides napari plugins for io to allow reading projects format in napari viewer.
Save Format
Saved projects are tar files compressed with gzip or bz2.
Metadata is saved in data.json file (in json format).
Images/masks are saved as *.npy (numpy array format).
Interface
Launcher. Choose the program that you will launch:

Main window of Segmentation Analysis:

Main window of Segmentation Analysis with view on measurement result:

Window for creating a set of measurements:

Main window of Mask Segmentation:

Laboratory
Laboratory of Functional and Structural Genomics
http://4dnucleome.cent.uw.edu.pl/
Cite as
Bokota, G., Sroka, J., Basu, S. et al. PartSeg: a tool for quantitative feature extraction
from 3D microscopy images for dummies. BMC Bioinformatics 22, 72 (2021).
https://doi.org/10.1186/s12859-021-03984-1
Changelog
0.13.10

change tiff save backend to ome-tiff
add DistanceROIROI and ROINeighbourhoodROI measurements

0.13.9

annotation show bugfix

0.13.8

napari deprecation fixes
speedup simple measurement
bundle plugins initial support

0.13.7

add measurements widget for napari
fix bug in pipeline usage

0.13.6

Hotfix release
Prepare for a new napari version

0.13.5

Small fixes for error reporting
Fix mask segmentation

0.13.4

Bugfix for outdated profile/pipeline preview

0.13.3

Fix saving roi_info in multiple files and history

0.13.2

Fix showing label in select label tab

0.13.1

Add Haralick measurements
Add obsep file support

0.13.0

Add possibility of custom input widgets for algorithms
Switch to napari Colormaps instead of custom one
Add points visualization
Synchronization widget for builtin (View menu) napari viewer
Drop Python 3.6

0.12.7

Fixes for napari 0.4.6

0.12.6

Fix prev_mask_get
Fix cache mechanism on mask change
Update PyInstaller build

0.12.5

Fix bug in pipeline execute

0.12.4

Fix ROI Mask windows related build (signal not properly connected)

0.12.3

Fix ROI Mask

0.12.2

Fix windows bundle

0.12.1

History of last opened files
Add ROI annotation and ROI alternatives
Minor bugfix

0.12.0

Toggle multiple files widget in View menu
Toggle Left panel in ROI Analysis in View Menu
Rename Mask Segmentation to ROI Mask
Add documentation for interface
Add Batch processing tutorial
Add information about errors to batch processing output file
Load image from the batch prepare window
Add search option in part of list and combo boxes
Add drag and drop mechanism to load list of files to batch window.

0.11.5

add side view to viewer
fix horizontal view for Measurements result table

0.11.4

bump to napari 0.3.8 in bundle
fix bug with not presented segmentation loaded from project
add frame (1 pix) to image cat from base one based on segmentation
pin to Qt version to 5.14

0.11.3

prepare for napari 0.3.7
split napari io plugin on multiple part
better reporting for numpy array via sentry
fix setting color for mask marking

0.11.2

Speedup image set in viewer using async calls
Fix bug in long name of sheet with parameters

0.11.1

Add screenshot option in View menu
Add Voxels measurements

0.11.0

Make sprawl algorithm name shorter
Unify capitalisation of measurement names
Add simple measurements to mask segmentation
Use napari as viewer
Add possibility to preview additional output of algorithms (In View menu)
Update names of available Algorithm and Measurement to be more descriptive.

0.10.8

fix synchronisation between viewers in Segmentation Analysis
fix batch crash on error during batch run, add information about file on which calculation fails
add changelog preview in Help > About

0.10.7

in measurements, on empty list of components mean will return 0

0.10.6

fix border rim preview
fix problem with size of image preview
zoom with scroll and moving if rectangle zoom is not marked

0.10.5

make PartSeg PEP517 compatible.
fix multiple files widget on Windows (path normalisation)

0.10.4

fix slow zoom

0.10.3

deterministic order of elements in batch processing.

0.10.2

bugfixes

0.10.1

bugfixes

0.10.0

Add creating custom label coloring.
Change execs interpreter to python 3.7.
Add masking operation in Segmentation Mask.
Change license to BSD.
Allow select root type in batch processing.
Add median filter in preview.

0.9.7

fix bug in compare mask

0.9.6

fix bug in loading project with mask
upgrade PyInstaller version (bug  GHSA-7fcj-pq9j-wh2r)

0.9.5

fix bug in loading project in ""Segmentation analysis""

0.9.4

read mask segmentation projects
choose source type in batch
add initial support to OIF and CZI file format
extract utils to PartSegCore module
add automated tests of example notebook
reversed mask
load segmentation parameters in mask segmentation
allow use sprawl in segmentation tool
add radial split of mask for measurement
add all measurement results in batch, per component sheet

0.9.3

start automated build documentation
change color map backend and allow for user to create custom color map.
segmentation compare
update test engines
support of PySide2

0.9.2.3

refactor code to make easier create plugin for mask segmentation
create class base updater for update outdated algorithm description
fix save functions
fix different bugs

0.9.2.2

extract static data to separated package
update marker of fix range and add mark of gauss in channel control

0.9.2.1

add VoteSmooth and add choosing of smooth algorithm

0.9.2


add pypi base check for update


remove resetting image state when change state in same image


in stack segmentation add options to picking components from segmentation's


in mask segmentation add:

preview of segmentation parameters per component,
save segmentation parameters in save file
new implementation of batch mode.



0.9.1


Add multiple files widget


Add Calculating distances between segmented object and mask


Batch processing plan fixes:

Fix adding pipelines to plan
Redesign mask widget



modify measurement backend to allow calculate multi channel measurements.


0.9
Begin of changelog"
1,PlatyMatch,PlatyMatch allows registration of volumetric images of embryos by establishing correspondences between cells,"








Registration of Multi-modal Volumetric Images by Establishing Cell Correspondence
Table of Contents

Introduction
Dependencies
Getting Started
Datasets
Registering your data
Contributing
Issues
Citation

Introduction
This repository hosts the version of the code used for the publication Registration of Multi-modal Volumetric Images by Establishing Cell Correspondence. 
We refer to the techniques elaborated in the publication, here as PlatyMatch. PlatyMatch performs a linear registration of volumetric, microscopy images of embryos by establishing correspondences between cells. 
PlatyMatch first detects nuclei in the two images being considered, next calculates unique shape context features for each nucleus detection which encapsulates the neighborhood as seen by that nucleus, and finally identifies pairs of matching nuclei through maximum bipartite matching applied to the pairwise distance matrix generated from these features. 
Dependencies
You can install PlatyMatch via pip:
conda create -y -n PlatyMatchEnv python==3.8
conda activate PlatyMatchEnv
python3 -m pip install PlatyMatch
Getting Started
Type in the following commands in a new terminal window.
conda activate PlatyMatchEnv
napari
Next, select PlatyMatch from Plugins> Add Dock Widget.
Datasets
Datasets are available in bic_eccv_data.zip as release assets here.
These comprise of images, nuclei detections and keypoint locations for confocal images of 12 individual specimens under the 01-insitus directory and static snapshots of a live embryo imaged through Light Sheet Microscopy under the 02-live directory. 
Folders with the same name in these two directories correspond in their developmental age, for example, 01-insitus/02 corresponds to 02-live/02, 01-insitus/03 corresponds to 02-live/03 and so on.   
Registering your data

Detect Nuclei 
Drag and drop your images in the viewer 
Click on Sync with Viewer button to refresh the drop-down menus 
Select the appropriate image in the drop down menu (for which nuclei detections are desired)
Select Detect Nuclei from the drop-down menu
Specify the anisotropy factor (Anisotropy (Z)) (i.e. the ratio of the size of the z pixel with respect to the x or y pixel. This factor is typically more than 1.0 because the z dimension is often undersampled)
Ideally min scales and max scales should be estimated from your data (min_scale should be set as min_radius/sqrt(3) and max_scale should be set as max_radius/sqrt(3). The default values of min_scale=5 and max_scale=9 generally works well).  
Click Run Scale Space Log button. Please note that this step takes a few minutes.
Wait until a confirmation message suggesting that nuclei detection is over shows up on the terminal
Export the nuclei locations (Export detections to csv) to a csv file
Repeat this step for all images which need to be matched



https://user-images.githubusercontent.com/34229641/120660618-cd5d3980-c487-11eb-8996-326264a4df87.mp4

Estimate Transform
In case, nuclei were exported to a csv in the Detect Nuclei panel, tick csv checkbox
If the nuclei detected were specified in the order id, z, y and x in the csv file, then tick IZYXR checkbox
Additionally if there is a header in the csv file, tick Header checkbox
Load the detections for the Moving Image, which is defined as the image which will be transformed to later match another fixed image
Load the detections for the Fixed Image
Click on Run pushbutton. Once the calculation is complete, a confirmation message shows up in the terminal. Export the transform matrix to a csv (Note that this step can take a few minutes)
It is also possible to estimate the transform in a supervised fashion. For this, upload the locations of a few matching keypoints in both images. These locations serve to provide a good starting point for the transform calculation. Once the keypoint files have been uploaded for both the images, then click Run and then export the transform matrix to a csv file 



https://user-images.githubusercontent.com/34229641/120685628-53857a00-c4a0-11eb-8f92-7ffac730e28a.mp4

Evaluate Metrics
Drag images which need to be transformed, in the viewer
Click on Sync with Viewer button to refresh the drop-down menus
Specify the anisotropy factor (Moving Image Anisotropy (Z) and Fixed Image Anisotropy (Z)) (i.e. the ratio of the size of the z pixel with respect to the x or y pixel. This factor is typically more than 1.0 because the z dimension is often undersampled)
Load the transform which was calculated in the previous steps
If you simply wish to export a transformed version of the moving image, click on Export Transformed Image
Additionally, one could quantify metrics such as average registration error evaluated on a few keypoints. To do so, tick the csv checkbox, if keypoints and detections are available as a csv file. Then load the keypoints for the moving image (Moving Kepoints) and the fixed image (Fixed Keypoints)
Also, upload the detections calculated in the previous steps (Detect Nuclei)  by uploading the Moving Detections and the Fixed Detections
Click on the Run push button
The text fields such as Matching Accuracy(0 to 1, with 1 being the best) and Average Registration Error (the lower the better) should become populated once the results are available



https://user-images.githubusercontent.com/34229641/120685654-5b451e80-c4a0-11eb-8d7d-de58b8b8304d.mp4
Contributing
Contributions are very welcome. Tests can be run with tox.
Issues
If you encounter any problems, please file an issue along with a detailed description.
Citation
If you find our work useful in your research, please consider citing:
bibtex
@InProceedings{10.1007/978-3-030-66415-2_30,
author=""Lalit, Manan and Handberg-Thorsager, Mette and Hsieh, Yu-Wen and Jug, Florian and Tomancak, Pavel"",
editor=""Bartoli, Adrien
and Fusiello, Andrea"",
title=""Registration of Multi-modal Volumetric Images by Establishing Cell Correspondence"",
booktitle=""Computer Vision -- ECCV 2020 Workshops"",
year=""2020"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""458--473"",
isbn=""978-3-030-66415-2""
}
PlatyMatch plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template."
2,affinder,Quickly find the affine matrix mapping one image to another using manual correspondence points annotation,"Description
This GUI plugin allows you to quickly find the affine matrix mapping
one image to another using manual correspondence points annotation.
More simply, this plugin allows you to select corresponding points
on an image, and a second image you wish to transform. It computes 
the requisite transformation matrix using Affine Transform, Euclidean Transform, 
or Similarity Transform, and performs this transformation on the
moving image, aligning it to the reference image.
https://user-images.githubusercontent.com/17995243/120086403-f1d0b300-c121-11eb-8000-a44a2ac54339.mp4
Who is This For?
This is a simple plugin which can be used on any 2D images, provided
they can be loaded as layers into napari. The images need not be the same
file format and this plugin also works with labels layers.
No prior understanding of the transformation methods is required, as
they perform in the background based on the reference points selected.
How to Guide
You will need a combination of two or more 2D image and/or labels layers 
loaded into napari. Once you have installed affinder, you can find it in
the dock widgets menu.

The first two dropdown boxes will be populated with the layers currently
loaded into napari. Select a layer to use as reference, and another to
transform.

Next, you can select the transformation model to use (affine is selected by default
and is the least rigid transformation of those available). See below for a
description of the different models.
Finally, you can optionally select a path to a text file for saving out the
resulting transformation matrix.
When you click Start, affinder will add two points layers to napari. 
The plugin will also bring your reference image in focus, and its associated points
layer. You can then start adding reference points by clicking on your image.

Once three points are added, affinder will switch focus to the moving image,
and you should then proceed to select the corresponding three points.

affinder will immediately transform the moving image to align the points you've
selected when you add your third corresponding point to your moving image.

From there, you can continue iteratively adding points until you 
are happy with the alignment. Affinder will switch focus between
reference and moving image with each point.
Click Finish to exit affinder.
Transformation Models
There are three transformation models available for use with affinder.
They are listed here in order of increasing rigidity in the types of
transforms they will allow. The eponymous Affine Transform is the 
least rigid and is the default choice.


Affine Transform: 
the least rigid transformation, it preserves
lines and parallelism, but not necessarily distance and angles. Translation,
scaling, similarity, reflection, rotation and shearing are all valid
affine transformations.


Similarity Transform: 
this is a ""shape preserving"" transformation, producing objects which are 
geometrically similar. Translation, rotation, reflection and uniform scaling are 
valid similarity transforms. Shearing is not.


Euclidean Transform:
Also known as a rigid transformation, this transform preserves the Euclidean
distance between each pair of points on the image. This includes rotation,
translation and reflection but not scaling or shearing.


Getting Help
If you find a bug with affinder, or would like support with using it, please raise an
issue on the GitHub repository.
How to Cite
Many plugins may be used in the course of published (or publishable) research, as well as
during conference talks and other public facing events. If you'd like to be cited in
a particular format, or have a DOI you'd like used, you should provide that information here."
3,bfio,Simple reading and writing classes for tiled tiffs using Bioformats.,"BioFormats Input/Output utility (bfio v2.1.9)




This tool is a simplified but powerful interface to 
Bioformats
using jpype for direct access to the library. This tool is designed with
scalable image analysis in mind, with a simple interface to treat any image
like a memory mapped array.
Docker containers with all necessary components are available (see
Docker Containers section).
Summary

Installation
Docker
Documentation
Contributing
Versioning
Authors
License
Acknowledgments

Installation
Setting up Java
Note: bfio can be used without Java, but only the python and zarr
backends will be useable. Only files in tiled OME Tiff or OME Zarr format can be
read/written.
In order to use the Java backend, it is necessary to first install the JDK.
The bfio package is generally tested with
JDK 8,
but JDK 11 and later also appear to work.
Installing bfio
The bfio package and the core dependencies (numpy, tifffile, imagecodecs) can
be installed using pip:
pip install bfio
Additionally, bfio with other dependencies can be installed:

pip install bfio[jpype] - Adds support for BioFormats/Java
pip install bfio[zarr] - Adds support for OME Zarr
pip install bfio[all] - Installs all dependencies.

Docker
labshare/polus-bfio-util:2.1.8
Ubuntu based container with bfio and all dependencies (including Java).
labshare/polus-bfio-util:2.1.8-imagej
Same as above, except comes with ImageJ and PyImageJ.
labshare/polus-bfio-util:2.1.8-tensorflow
Tensorflow container with bfio isntalled.
Documentation
Documentation and examples are available on
Read the Docs.
Versioning
We use SemVer for versioning. For the versions
available, see the tags on this
repository.
Authors
Nick Schaub (nick.schaub@nih.gov, nick.schaub@labshare.org)
License
This project is licensed under the MIT License
Creative Commons License - see the LICENSE file for
details
Acknowledgments

Parts of this code were written/modified from existing code found in
    tifffile.
"
4,brainglobe-napari-io,Read and write files from the BrainGlobe neuroanatomy suite,"napari-cellfinder





Visualise cellfinder and brainreg results with napari

Installation
This package is likely already installed 
(e.g. with cellfinder, brainreg or another napari plugin), but if you want to 
install it again, either use the napari plugin install GUI or you can 
install brainglobe-napari-io via pip:
pip install brainglobe-napari-io

Usage

Open napari (however you normally do it, but typically just type napari into your terminal, or click on your desktop icon)

brainreg
Sample space
Drag your brainreg output directory (the one with the log file) onto the napari window.
Various images should then open, including:
* Registered image - the image used for registration, downsampled to atlas resolution
* atlas_name - e.g. allen_mouse_25um the atlas labels, warped to your sample brain
* Boundaries - the boundaries of the atlas regions
If you downsampled additional channels, these will also be loaded.
Most of these images will not be visible by default. Click the little eye icon to toggle visibility.
N.B. If you use a high resolution atlas (such as allen_mouse_10um), then the files can take a little while to load.

Atlas space
napari-brainreg also comes with an additional plugin, for visualising your data 
in atlas space. 
This is typically only used in other software, but you can enable it yourself:
* Open napari
* Navigate to Plugins -> Plugin Call Order
* In the Plugin Sorter window, select napari_get_reader from the select hook... dropdown box
* Drag brainreg_read_dir_standard_space (the atlas space viewer plugin) above brainreg_read_dir (the normal plugin) to ensure that the atlas space plugin is used preferentially.
cellfinder
Load cellfinder XML file

Load your raw data (drag and drop the data directories into napari, one at a time)
Drag and drop your cellfinder XML file (e.g. cell_classification.xml) into napari.

Load cellfinder directory

Load your raw data (drag and drop the data directories into napari, one at a time)
Drag and drop your cellfinder output directory into napari.

The plugin will then load your detected cells (in yellow) and the rejected cell 
candidates (in blue). If you carried out registration, then these results will be 
overlaid (similarly to the loading brainreg data, but transformed to the 
coordinate space of your raw data).

Loading raw data

Loading cellfinder results
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the MIT license,
""brainglobe-napari-io"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
5,brainreg-napari,Multi-atlas whole-brain microscopy registration,"




brainreg-napari
Napari plugin to run brainreg, 
developed by Stephen Lenzi.
Installation
bash
pip install brainreg-napari
Usage
Documentation for the plugin is to come, but documentation for the original 
brainreg can be found here 
and a tutorial is here. 
For segmentation of bulk structures in 3D space 
(e.g. injection sites, Neuropixels probes), please see 
brainreg-segment.
This software is at a very early stage, and was written with our data in mind. 
Over time we hope to support other data types/formats. If you have any issues, please get in touch on the forum or by 
raising an issue. 
If you have any other questions, 
please send an email.
Details
brainreg is an update to 
amap (itself a port 
of the original Java software) 
to include multiple registration backends, and to support the many atlases 
provided by bg-atlasapi.
The aim of brainreg is to register the template brain
 (e.g. from the Allen Reference Atlas)
  to the sample image. Once this is complete, any other image in the template
  space can be aligned with the sample (such as region annotations, for 
  segmentation of the sample image). The template to sample transformation
  can also be inverted, allowing sample images to be aligned in a common 
  coordinate space.
To do this, the template and sample images are filtered, and then registered in 
a three step process (reorientation, affine registration, and freeform 
registration.) The resulting transform from template to standard space is then
applied to the atlas. 
Full details of the process are in the 
original aMAP paper.

Overview of the registration process
Citing brainreg
If you find brainreg useful, and use it in your research, please let us know and also cite the preprint:

Tyson, A. L., Vélez-Fort, M.,  Rousseau, C. V., Cossell, L., Tsitoura, C., Obenhaus, H. A., Claudi, F., Lenzi, S. C., Branco, T.,  Margrie, T. W. (2021) “Tools for accurate post hoc determination of marker location within whole-brain microscopy images’ bioRxiv, doi.org/10.1101/2021.05.21.445133

Please also cite aMAP (the original pipeline from which this software is based):

Niedworok, C.J., Brown, A.P.Y., Jorge Cardoso, M., Osten, P., Ourselin, S., Modat, M. and Margrie, T.W., (2016). AMAP is a validated pipeline for registration and segmentation of high-resolution mouse brain data. Nature Communications. 7, 1–9. https://doi.org/10.1038/ncomms11879

Lastly, if you can, please cite the BrainGlobe Atlas API that provided the atlas:

Claudi, F., Petrucco, L., Tyson, A. L., Branco, T., Margrie, T. W. and Portugues, R. (2020). BrainGlobe Atlas API: a common interface for neuroanatomical atlases. Journal of Open Source Software, 5(54), 2668, https://doi.org/10.21105/joss.02668

Don't forget to cite the developers of the atlas that you used (e.g. the Allen Brain Atlas)!"
6,brainreg-segment,Manual segmentation of 3D brain structures in a common anatomical space,"







brainreg-segment
Segmentation of 1/2/3D brain structures in a common anatomical space
brainreg-segment is a companion to brainreg allowing manual segmentation of regions/objects within the brain (e.g. injection sites, probes etc.) allowing for automated analysis of brain region distribution, and visualisation (e.g. in brainrender).
Installation
brainreg-segment comes bundled with brainreg, so see the brainreg installation instructions. 
brainreg-segment can be installed on it's own (pip install brainreg-segment), but you will need to register your data with brainreg first. 
Usage
See user guide.
If you have any questions, head over to the image.sc forum.
Citing brainreg-segment
If you find brainreg-segment useful, and use it in your research, please let us know and also cite the preprint:

Tyson, A. L., Vélez-Fort, M.,  Rousseau, C. V., Cossell, L., Tsitoura, C., Obenhaus, H. A., Claudi, F., Lenzi, S. C., Branco, T.,  Margrie, T. W. (2021) “Tools for accurate post hoc determination of marker location within whole-brain microscopy images’ bioRxiv, doi.org/10.1101/2021.05.21.445133
"
7,cellfinder-napari,Efficient cell detection in large images,"cellfinder-napari












Efficient cell detection in large images (e.g. whole mouse brain images)
This package implements the cell detection algorithm from 
Tyson, Rousseau & Niedworok et al. (2021) 
for napari, based on the 
cellfinder-core package.
This algorithm can also be used within the original 
cellfinder software for 
whole-brain microscopy analysis.


Visualising detected cells in the cellfinder napari plugin

Instructions
Installation
Once you have installed napari. 
You can install napari either through the napari plugin installation tool, or 
directly from PyPI with:
bash
pip install cellfinder-napari
Usage
Full documentation can be 
found here. 
This software is at a very early stage, and was written with our data in mind. 
Over time we hope to support other data types/formats. If you have any 
questions or issues, please get in touch by 
email, 
on the forum or by 
raising an issue.

Illustration
Introduction
cellfinder takes a stitched, but otherwise raw dataset with at least 
two channels:
 * Background channel (i.e. autofluorescence)
 * Signal channel, the one with the cells to be detected:

Raw coronal serial two-photon mouse brain image showing labelled cells
Cell candidate detection
Classical image analysis (e.g. filters, thresholding) is used to find 
cell-like objects (with false positives):

Candidate cells (including many artefacts)
Cell candidate classification
A deep-learning network (ResNet) is used to classify cell candidates as true 
cells or artefacts:

Cassified cell candidates. Yellow - cells, Blue - artefacts
Citing cellfinder
If you find this plugin useful, and use it in your research, please cite the preprint outlining the cell detection algorithm:

Tyson, A. L., Rousseau, C. V., Niedworok, C. J., Keshavarzi, S., Tsitoura, C., Cossell, L., Strom, M. and Margrie, T. W. (2021) “A deep learning algorithm for 3D cell detection in whole mouse brain image datasets’ PLOS Computational Biology, 17(5), e1009074
https://doi.org/10.1371/journal.pcbi.1009074

If you use this, or any other tools in the brainglobe suite, please
 let us know, and 
 we'd be happy to promote your paper/talk etc."
8,cellpose-napari,a generalist algorithm for anatomical segmentation,"cellpose-napari 











a napari plugin for anatomical segmentation of general cellular images

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
The plugin code was written by Carsen Stringer, and the cellpose code was written by Carsen Stringer and Marius Pachitariu. To learn about Cellpose, read the paper or watch this talk. 
For support with the plugin, please open an issue. For support with cellpose, please open an issue on the cellpose repo. 
If you use this plugin please cite the paper:
::
  @article{stringer2021cellpose,
  title={Cellpose: a generalist algorithm for cellular segmentation},
  author={Stringer, Carsen and Wang, Tim and Michaelos, Michalis and Pachitariu, Marius},
  journal={Nature Methods},
  volume={18},
  number={1},
  pages={100--106},
  year={2021},
  publisher={Nature Publishing Group}
  }


Installation
Install an Anaconda distribution of Python -- Choose Python 3 and your operating system. Note you might need to use an anaconda prompt if you did not add anaconda to the path. 
You can install cellpose-napari via [pip]:
pip install cellpose-napari

If install fails in your base environment, create a new environment:
1. Download the environment.yml file from the repository. You can do this by cloning the repository, or copy-pasting the text from the file into a text document on your local computer.
2. Open an anaconda prompt / command prompt with conda for python 3 in the path
3. Change directories to where the environment.yml is and run conda env create -f environment.yml
4. To activate this new environment, run conda activate cellpose-napari
5. You should see (cellpose-napari) on the left side of the terminal line. 
If you have issues with cellpose installation, see the cellpose docs for more details, and then if the suggestions fail, open an issue.
Upgrading software
You can upgrade the plugin with
~~~
pip install cellpose-napari --upgrade
~~~
and you can upgrade cellpose with
~~~
pip install cellpose --upgrade
~~~
GPU version (CUDA) on Windows or Linux
If you plan on running many images, you may want to install a GPU version of torch (if it isn't already installed).
Before installing the GPU version, remove the CPU version:
~~~
pip uninstall torch
~~~
Follow the instructions here to determine what version to install. The Anaconda install is recommended along with CUDA version 10.2. For instance this command will install the 10.2 version on Linux and Windows (note the torchvision and torchaudio commands are removed because cellpose doesn't require them):
~~~
conda install pytorch cudatoolkit=10.2 -c pytorch
~~~~
When upgrading GPU Cellpose in the future, you will want to ignore dependencies (to ensure that the pip version of torch does not install):
~~~
pip install --no-deps cellpose --upgrade
~~~
Installation of github version
Follow steps from above to install the dependencies. In the github repository, run pip install -e . and the github version will be installed. If you want to go back to the pip version of cellpose-napari, then say pip install cellpose-napari.
Running the software
Open napari with the cellpose-napari dock widget open
napari -w cellpose-napari
There is sample data in the File menu, or get started with your own images!
Detailed usage documentation.
Contributing
Contributions are very welcome. Tests are run with pytest.
License
Distributed under the terms of the BSD-3 license,
""cellpose-napari"" is free and open source software.
Dependencies
cellpose-napari relies on the following excellent packages (which are automatically installed with conda/pip if missing):
- napari
- magicgui
cellpose relies on the following excellent packages (which are automatically installed with conda/pip if missing):
- torch
- numpy (>=1.16.0)
- numba
- scipy
- natsort
- tifffile
- opencv"
9,devbio-napari,A collection of napari plugins useful for studying developmental biology,"devbio-napari



A collection of napari plugins useful for studying developmental biology.

File input/output plugins
aicsimageio
napari-itk-io 
ome-zarr
Image exploration and visualization tools
animation
Image segmentation plugins
Cellpose
StarDist
oclrfc
pyclesperanto-assistant
Manual split & merge labels
Image registration
PlatyMatch
Quantitative measurements
scikit-image regionprops
plot-profile
Utilities
brightness-contrast
plugin-search


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install devbio-napari via pip:
conda install -c conda-forge pyopencl jupyter notebook
pip install devbio-napari

Windows users should install pyopencl via conda in advance:
conda install -c conda-forge pyopencl

See also.
Contributing
Contributions are very welcome. If you want to suggest a new napari plugin to become part of this distribution, please make sure it interoperates nicely with the other plugins. For example, if the plugin you suggest provided cell segmentation algorithms, please check if the resulting segmented cells can be analysed using napari-skimage-regionprops.
License
Distributed under the terms of the BSD-3 license,
""devbio-napari"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
